ENTITY	CUI
neoxanthin	C0068545
Somatostatin	C0037659
paraform	C0070066
Terbutaline Sulfate	C0039543
Dimyristoylphosphatidylcholine	C0012456
Purines	C0034140
Inosine	C0021528
Hypoxanthine	C0020684
indacaterol	C1722260
H2 receptor blockers	C1979715
Tolonium chloride	C0040380
Hypoglycemic Agents	C0020616
Quercetin	C0034392
Styrene	C0038515
cinnamic acid	C0055753
ethyl cinnamate	C1121593
canadine	C0054569
palmatine	C0069963
Berberine	C0005117
Aspartame	C0003999
Saccharin	C0036023
Hypnotics and Sedatives	C0020592
Biological Products	C0005522
Levobunolol	C0006388
Atenolol	C0004147
Sincalide	C0037167
Gentian Violet	C0017440
brimonidine	C0525227
Pentobarbital	C0030883
Narcotics	C0027415
5-HT>3< receptor antagonist	C0360055
ramosetron	C0526950
NS-1	C0165193
Clonidine Hydrochloride	C0546860
Antidementia drug	C1276997
Phenformin Hydrochloride	C0770237
Fluvoxamine	C0085228
lafutidine	C0172827
Fluorouracil	C0016360
Anti-Inflammatory Agents	C0003209
Excitatory Amino Acid Antagonists	C0242910
Potassium Ion	C0597277
Carboxylic Acids	C0007066
Schiff Bases	C0036311
Enzyme Inhibitors	C0014432
Schiff	C2949227
Cephradine	C0007738
AROMATICS	C0772162
Aldehydes	C0001992
Triptans	C1567966
dicyanmethane	C0057889
fluorophore	C0598447
atomoxetine	C0076823
Hyaluronic Acid	C0020196
Deoxycholic Acid	C0011479
AM 630	C0298440
Hydroxyproline	C0020388
P 11	C0069877
triphenyltetrazolium chloride	C0146883
dihydroethidium	C0644810
umeclidinium / vilanterol	C3709478
fluticasone furoate	C1948374
Hydrogel	C0063083
poly(ethylene glycol)diacrylate	C1098051
Agonist drug	C0521879
Methanol	C0001963
2-(4'-diethylaminophenyl)benzothiazole	C0645403
apigetrin	C0052156
isoquercitrin	C0064071
Glucosides	C0017765
Ellagic Acid	C0013900
Luteolin	C0065264
kaempferol	C0064280
caffeoylquinic acid	C1175370
1-Butanol	C0089147
Chloroform	C0008238
n-hexane	C0068008
2,2'-azino-di-(3-ethylbenzothiazoline)-6-sulfonic acid	C0045246
pristane	C0071986
adrenomedullin	C0215825
pyridine	C0034251
sultones	C0144119
dioxide	C0678717
fesoterodine	C2343853
Viloxazine	C0042665
Cholinergic Antagonists	C0242897
butylscopolamine	C2827093
Bicuculline	C0005372
protoberberine	C0072486
cyclanoline	C0056681
fluorescein isothiocyanate dextran	C0060527
fasudil	C0062068
Angiogenesis Inhibitors	C0596087
Hydroxymethylglutaryl-CoA Reductase Inhibitors	C0360714
Cyanoacrylates	C0010507
Bronchodilator Agents	C0006280
salmeterol	C0073992
Muscarine	C0026814
5-nitro-2-(3-phenylpropylamino)benzoic acid	C0049330
Cholinergic Agonists	C0242894
carpronium chloride	C0128074
Furozin	C0118397
Dimethylnitrosamine	C0012431
Vasoconstrictor Agents	C0042397
Loxapine	C0024056
Physostigmine	C0031849
Antidote	C0003295
Doxazosin	C0114873
Adrenergic alpha-1 Receptor Antagonists	C0304512
levo-tetrahydropalmatine	C3661431
Ganglionic Blockers	C3536867
Idazoxan	C0063327
Butoxamine	C0006493
Sodium Glutamate	C0037511
Pregnenolone	C0373704
ORALIT	C0069590
Lipolytic enzyme	C0544422
phenylpiperazine	C0070698
Radiopharmaceuticals	C0182638
Galantamine	C0016967
Glyceraldehyde	C0017854
aluminum chloride	C0102840
Copper Sulfate	C0056301
allicin	C0051200
paxilline	C0083955
cholesterol-hemisuccinate	C0109580
Cholinergic Receptor Agonist [EPC]	C3536927
Biperiden	C0005578
Quinoxaline	C0178820
compound 18	C0605321
isoniazid	C0022209
Oximes	C0030020
Phthalimides	C0031785
motilin	C0026594
dibenzocycloheptatriene	C0600919
dibenzocycloheptadiene	C0243201
nebivolol	C0068475
SGS742	C1506802
GABA-B Receptor Antagonists	C2936802
Vanilloid	C1519952
GSK 1016790A	C2604031
coomassie Brilliant Blue	C0056270
RN 1734	C2744078
HC-067047	C3493142
Sapropterin dihydrochloride	C1996349
cariprazine	C2936870
Serotonin Agonists	C0162757
JWH 018	C2974687
Binaca	C2949608
Guanabenz	C0018312
Anti-HIV Agents	C0376565
TM 1	C0387008
AR-R 17779	C0914273
Guanfacine	C0079466
Chlorogenic acid	C0008240
Quinic Acid	C0034413
2,5-dichloro-4-bromophenol	C0045550
Atosiban	C0164398
homatropine	C0062922
L 368899	C0252594
3,5-diisopropylsalicylic acid	C0378785
Flumazenil	C0016293
Minocycline	C0026187
Bumetanide	C0006376
NS 6740	C2932021
PNU 120596	C1699461
26-P	C0094014
catechol	C0054858
Prescription Drugs	C0304227
Methylphenidate	C0025810
Turmeric extract	C0077524
Doxepin	C0013085
Histamine H1 Agonists	C0162814
Remoxipride	C0073047
ICI 118551	C0063278
BODIPY	C0381187
Monoamine Oxidase Inhibitors	C0026457
norfluoxetine	C0068987
Nafoxidine	C0027328
3,4-Dihydroxyphenylacetic Acid	C0000376
Ally	C1098293
fenamiphos	C0060149
methamidophos	C0066080
phosalone	C0070762
Oxadiazoles	C0029984
Heterocyclic Amines	C1512423
Mineralocorticoids	C0026160
phosphoramidate	C0896246
Organophosphate pesticide	C0360429
ethoprophos	C1259069
RS194B	C3492512
tabun	C0075762
Nootropic Agents	C0242913
Citicoline	C0010725
Luteinizing Hormone	C0023607
Testosterone	C0039601
aloxistatin	C0902566
ammonium ion	C3488947
Sphingolipids	C0037900
sphingosine phosphorylcholine	C0074995
B355252	C3850711
Thiophene	C0599532
Sulfonamides	C0038760
Donepezil hydrochloride	C0771848
Pyridostigmine Bromide	C0034262
Cyclic AMP	C0001455
N(6)-(4-amino-3-iodobenzyl)adenosine-5'-N-methyluronamide	C0289299
PSB 11	C1098729
omalizumab	C0966225
Clerodane Diterpenes	C1120306
Golden Rod Extract	C0771937
vanillin	C0078032
Sulfuric acid	C0038784
Diterpenes	C0012780
pyrazole	C0072662
benzamide	C0053139
CDPPB	C1743791
BA 2	C0658102
Histamine-1 Receptor Inhibitor [EPC]	C2919009
olopatadine	C0527189
Melatonin receptor agonists, hypnotics and sedatives	C3541970
Colforsin	C0917964
titanium dioxide	C0076733
HMR 1556	C0964072
Clomipramine	C0009010
Cannabinol	C0006865
poly(tetramethylene succinate-co-tetramethylene adipate)	C1098032
Ritanserin	C0085260
Purinergic Agonists	C2936567
piperazine	C0031957
Catechin	C0007404
Sus scrofa pancreas preparation	C3486806
Azithromycin	C0052796
compound 17	C0605315
MAO B Inhibitors, dopaminergic anti-parkinson drugs	C3653412
Famotidine	C0015620
U 0126	C0755562
Gonadal Steroid Hormones	C0036884
Viagra	C0663448
Medical Marijuana	C0813973
LDL Cholesterol Lipoproteins	C0023824
Curcumin C3 Complex	C1511563
monooxyethylene trimethylolpropane tristearate	C0647210
Pyridones	C0034260
Carboxamide derivatives, antiepileptics	C3653446
Cycloparaffins	C0010578
2-arachidonylglycerol	C0299477
Win 55212-2	C0148782
2-hydroxypyridine	C0046242
isoliquiritigenin	C0045137
Adenosine A3 Receptor Agonists	C2936553
VUF 8430	C1870101
Sentinel	C0950580
dimethyl mercury	C0166979
SR 59230A	C0386264
N-acetylserotonin	C0067783
decynium 22	C0220596
RS 102221	C0665064
Antiplatelet Agents	C0085826
Arsenal	C0172217
Antagonist drug	C0521880
lipoxin A4 methyl ester	C3493370
lipoxin A4	C0048893
amberlyst-15	C2353068
indole-3-carbaldehyde	C0063490
Imines	C0020930
lorcaserin	C2350948
vinpocetine	C0059752
interleukin-1beta-converting enzyme inhibitor	C0168318
Pimavanserin	C1722267
Pergolide	C0031007
alfuzosin	C0051150
Terazosin	C0076107
naftopidil	C0083701
silodosin	C1870115
Amylases	C0002712
boric acid	C0006020
oxotremorine M	C0069796
CI 906	C0733691
Tetrodotoxin	C0039705
Nicotinic Antagonists	C0242956
Indocyanine Green	C0021234
tiotropium	C0213771
Receptors, Artificial	C3494280
Carboxyl Group	C0596260
Amine Group	C1879694
aaptamine	C0623266
Terpenes	C0039561
Wood preservative	C0303761
imidacloprid	C0218499
thiacloprid	C0962702
Purinergic P1 Receptor Agonists	C2917322
4-nitrobenzylthioinosine	C0048568
transport inhibitor	C0597607
Cystine	C0010682
Diamide	C0011953
Cyclooxygenase 2 Inhibitors	C1257954
NS398	C1567346
pemetrexed	C0210657
Anticoagulants, Oral	C0354604
Antidiabetics	C0935929
Brain Monoamines	C0237736
4-nitrophenyl	C0048584
Acetazolamide	C0000981
ginsenoside M1	C0675992
Oleanolic Acid	C0028925
WAY 100635	C0290799
1-Methyl-4-phenylpyridinium	C0000098
diacetyldichlorofluorescein	C0057672
Cortisone	C0010137
Sarin	C0036233
Isoflurophate	C0022181
2,3-trimethylene-4-quinazolone	C0610719
kaempferol-3-O-rutinoside	C1528207
Hydroxyzine Hydrochloride	C0600110
Antihistamine [EPC]	C3536809
Pulmonary Surfactants	C0034085
Dinitrochlorobenzene	C0012460
Antipruritics	C0003417
Bisoprolol	C0053799
Dihydroergotamine	C0012291
Dihematoporphyrin Ether	C0058031
Ergot Alkaloids	C0014707
L 748,337	C0907947
Dichlorodiphenyldichloroethane	C0011037
Anti-platelet drugs	C2963157
Selective Angiotensin II Receptor Antagonists	C1563745
Anticoagulants	C0003280
Histamine H1 Antagonists, Non-Sedating	C1136312
inositol triphosphate	C0815032
NS 1619	C0253216
NS 11021	C2001146
Lipase	C0023764
Medium chain fatty acid	C0522094
Polyunsaturated Fatty Acids	C0032615
1,2-diacylglycerol	C0043791
Methacholine	C0600370
pyridoxal phosphate-6-azophenyl-2',4'-disulfonic acid	C0174492
cilostazol	C0055729
Antispasmodics	C0037766
Diphenoxylate	C0012525
4-sulfophenylmethallyl ether	C0526271
Bilirubin	C0005437
Sertraline Hydrochloride	C0600526
Fluoxetine Hydrochloride	C0733380
Pterins	C0033992
Pyridoxal Phosphate	C0034266
BETAHISTINE	C0005301
Gentamicin	C3854019
tolterodine	C0388753
aprepitant	C1176306
rimonabant	C1142933
Signal Transduction Inhibitor	C1519313
Pentoxifylline	C0030899
gallein	C0061001
Ephedrine	C0014479
Amines, Sympathomimetic	C0002509
Plant alkaloid	C0301258
Bucladesine	C0012054
Quinidine	C0034414
Cimetidine	C0008783
aclidinium bromide	C2699758
aclidinium	C2699757
ranitidine bismuth citrate	C0139919
Esomeprazole	C0937846
Amoxicillin	C0002645
Clarithromycin	C0055856
fluoxetine and norfluoxetine	C0486797
Piperazines	C0031958
Fura-2	C0079389
2',5'-oligoadenylate	C0045143
huperzine A	C0063033
Human Platelet Antigens	C0085355
compound 30	C0604129
cevimeline	C0093437
Non-esterified cholesterol	C0368909
Sphingosine	C0037907
F 15599	C2002903
VU0357017	C3500852
VU0152100	C3661144
VU0238429	C3852537
Ondansetron	C0061851
JD5037	C3529292
Endotoxins	C0014264
benzaldehyde	C0005023
Diketopiperazines	C0058171
Convulsants	C0009950
Picrotoxin	C0031890
Chlordiazepoxide	C0008188
Phenobarbital	C0031412
Mefenamic Acid	C0025152
Strychnine	C0202474
Kainate	C0205812
Histamine H3 Antagonists	C1956071
Renin-angiotensin-aldosterone System Inhibitors	C1579267
Aldosterone	C0002006
RU 24969	C0073661
fucoidan	C0060794
Thiobarbituric Acid Reactive Substances	C0162781
Acetylcholine Chloride	C0055389
oxybutynin	C0069805
piperazine dihydrochloride	C0892283
Finasteride	C0060389
Ras Inhibitor	C1514727
dimethoxon	C0058206
efaroxan	C0058957
Sodium Benzoate	C0142805
Sodium Channel Blockers	C0872271
Flecainide	C0016229
ranolazine	C0073633
methyllycaconitine	C0066393
erythroidine	C0178624
PCE	C1588205
indoline	C0063510
Citric Acid	C0055819
DOPE	C0915374
mecarzole	C0065839
Wakefulness-Promoting Agents	C3658225
modafinil	C0066677
pitolisant	C3529928
Acetic Acid	C0000983
esketamine	C2825616
estradiol 3-benzoate	C0167626
hydroxytamoxifen	C1259921
4,17 beta-dihydroxy-4-androstene-3-one	C0047791
Estrogen Receptor Inhibitor [EPC]	C2267020
2-methyl-6-(phenylethynyl)pyridine	C0909109
chrysin	C0055661
cupric cation	C1177210
Phenols	C0031428
Timolol Maleate	C0087093
POMEGRANATE JUICE	C1327962
Tap water	C2919405
Adenosine A2A Receptor Antagonists	C2936572
vilazodone	C1530072
N-methylsuccinimide	C0672152
Dextromethorphan	C0011816
antidepressant agent imipramine	C3650303
Dextroamphetamine	C0011812
Arecoline	C0003753
Betel Nut	C0684282
SR141716	C1174273
NF 449	C0670517
GABA Modulators	C0242976
butylscopolamine bromide	C0006519
Biogenic Monoamines	C0005497
Chloralose	C0008162
Brintellix	C3667599
Carbolines	C0007007
tolcapone	C0246330
Catechol-O-Methyltransferase Inhibitor [EPC]	C3536821
Bromocriptine	C0006230
Indole derivatives, antipsychotic	C3653426
Stimulant	C0304402
Amphetamines	C0002667
Prostaglandins	C0033554
Phosphatidylglycerols	C0031619
Dinoprostone	C0012472
bipyridine	C0175774
Ecstasy - drug	C0115471
mephedrone	C2932852
Lysergic Acid Diethylamide	C0024334
SCH 23390	C0080138
Dopaminergic mechanisms	C3825331
Estrogens	C0014939
Oils	C0028908
Monoterpenes	C0682997
Hydrocarbons	C0020242
Sesquiterpenes	C0036847
Isothiocyanate	C0124209
carzinophilin	C0054841
TRYPSIN	C0041236
Caseins	C0007332
certolizumab pegol	C1872109
naringenin	C0068450
MDL 100907	C0212182
mometasone furoate	C0066700
gingerol	C0061267
Zingiber officinale, homeopathic preparation	C1542435
Ketotifen	C0022642
Pyrilamine	C0034282
epinastine	C0078442
Antazoline	C0003143
Leukotriene Antagonists	C0595726
RS 100329	C0908086
Purinergic P2Y12 Receptor Antagonists	C2936585
Adenosine-5'-(N-ethylcarboxamide)	C0050789
Thrombin	C0040018
Thienopyridines	C2936588
Benserazide	C0005014
entacapone	C0165921
CETRIMONIUM BROMIDE	C0951233
human urine	C0885847
vortioxetine	C3661282
dapoxetine	C0215087
Erythrosine	C0014824
Hyaluronidase	C0020197
Pilocarpine	C0031923
Protein Kinase C Inhibitor	C1514555
Octreotide	C0028833
1-(2-(dodecyloxy)ethyl)pyrrolidine hydrochloride	C0057472
Hydroxydopamine	C0205795
cupric chloride	C0056593
5-alpha Reductase Inhibitors	C2936788
Angiotensin Receptor Antagonists	C0815017
CI 943	C0055695
Acebutolol	C0000946
Betaxolol	C0005320
Oxprenolol	C0030040
Amiodarone	C0002598
celecoxib	C0538927
terbinafine	C0076110
Fluoroquinolones	C0949665
Anti-Inflammatory Agents, Non-Steroidal	C0003211
gugulu extract	C0061999
p-Chloroamphetamine	C0030131
MRE0094	C1260029
R-138727	C1722147
nabilone	C0068333
n-arachidonoylethanolamide	C1871863
landiolol	C0905464
Brimonidine tartrate	C0077768
OIL/WATER	C1875574
Tween 80	C0041417
Span 80	C0950383
isopropyl myristate	C0064056
Pramipexole dihydrochloride	C0772054
SK&F-38393	C0037239
reboxetine	C0168388
Drug Combinations	C0013162
Aromatase Inhibitors	C0593802
anastrozole	C0290883
vesamicol	C0148338
Pirenzepine	C0031978
Nalbuphine	C0027348
formic acid, ammonium salt	C0103071
compound A 12	C0620347
diphenyleneiodonium	C0058381
Androstenedione	C0002860
11-dehydrocorticosterone	C0044729
Cortodoxone	C0010139
Zinc	C0043481
pinnatoxin G	C2976249
Phosphatidylserines	C0031623
Diphosphates	C0034320
MRS 2179	C0674169
Sodium Nitroprusside	C0037533
Methyl ether	C2584702
polyethylene glycol-poly(lactide-co-glycolide)	C3849743
Leuprolide	C0085272
Leuprolide Acetate	C0700596
Eligard	C1170247
Gonadotropins	C0018061
Gonadorelin	C0023610
Thioacetamide	C0039872
Galactosamine	C0016943
Ergoline	C0949288
Phosphatidylinositols	C0031621
Okadaic Acid	C0069389
phosphatase inhibitor	C0597217
Cyproheptadine	C0010620
ethyl cellulose	C0059756
solifenacin succinate	C1509436
azobenzene	C0052802
Cromolyn	C0086073
bilastine	C1101148
Benzofurans	C0005068
Naphthols	C0027387
Monoclonal Antibody HuM291	C0879551
Arginine hydrochloride	C0301556
methylate	C0746574
Amantadine	C0002403
Procainamide	C0033216
Citrate	C0376259
zonisamide	C0078844
Isatin	C0022115
Paraoxon	C0030480
pralidoxime	C0071808
lenticin	C0064754
ST. JOHN'S WORT EXTRACT	C0813171
higenamine	C0062705
LY 294002	C0251991
Quinuclidinyl Benzilate	C0034440
Phencyclidine	C0031381
Fluoro-Jade B	C3661365
EET	C1537011
Methylnitrosourea	C0025803
Chemokine receptor antagonist	C1880030
maraviroc	C1667052
2-hydroxysaclofen	C0046243
Homovanillate	C0178681
fluorescein (3',6'-dihydroxyspiro(isobenzofuran-1(3H), 9'(9H)-xanthen)-3-one)	C3849201
Trypan Blue	C0041213
Bromodeoxyuridine	C0006233
Rifampin	C0035608
Fluconazole	C0016277
Penicillamine	C0030817
Aporphines	C0003606
Xylazine	C0043366
olodaterol	C2934193
High-Density Polyethylene	C0752345
Meclofenamate Sodium	C0025041
Imidazole	C0020923
Phenanthrolines	C0031370
calf thymus DNA	C0966503
Albumin Human, USP	C0304925
Lysergic Acid	C0369632
nitromethane	C0068849
levocabastine	C0064870
Nelumbo nucifera, flower essence	C1254180
Flavones	C0016219
nornuciferine	C0069016
coclaurine	C0056056
Methyl Group	C0596922
armepavine	C0641725
Dipyridamole	C0012582
quinagolide	C0256089
esmolol	C0116569
5,5',6,6'-tetrachloro-1,1',3,3'-tetraethylbenzimidazolocarbocyanine	C0097797
Cyclophosphamide	C0010583
maltose tetrapalmitate	C0065610
Naphthoquinones	C0027388
triethylamine	C0077096
Glycoside Hydrolases	C0017976
Lawsone	C0064698
atipamezole	C0052593
SB-334867	C1097132
guar gum	C0061996
H 25	C0247683
beta-cyclodextrin tetradecasulfate	C0081758
Alkynes	C0002078
Beclomethasone Dipropionate	C0004906
BDP 12	C0385245
Caffeine / Ergotamine	C0717531
Acetaminophen	C0000970
Antiemetics	C0003297
Butorphanol	C0006491
metamifop	C2002341
Flurbiprofen	C0016377
Cyclooxygenase Inhibitors	C0085387
Prostaglandin E2	C3813211
Emetics	C0013973
maropitant	C1871004
Substance p/neurokinin 1 receptor antagonist	C1443636
Veterinary Drugs	C0376438
zolpidem	C0078839
Eszopiclone	C1436328
zaleplon	C0251504
zopiclone	C0078847
ramelteon	C1565316
LIPID MODIFYING AGENTS	C3653535
cyanine	C0596395
formic acid	C0016576
lycopodine	C0607134
Obidoxime	C0086728
Azinphosmethyl	C0004494
Geranylgeranyltransferase I Inhibitor	C3641793
Anesthetics, Inhalation	C0242903
3-cresol	C0047317
Aminooxyacetic Acid	C0002569
Domperidone	C0013015
Rutin	C0035976
Chromones	C0008594
Glyburide	C0017628
JTE 907	C0965044
Benzylpiperazine	C2923496
Egtazic Acid	C0013714
Amphotericin B	C0002679
Carmoisine A	C0052799
Acetate	C0000975
ethoxyresorufin	C0059734
3-methoxytyramine	C0047556
Kynurenic Acid	C0022816
indole-3-lactic acid	C0063493
Indoleacetic acid	C0936060
Propionic Acids	C0033482
Eicosapentaenoic Acid	C0000545
acetonitrile	C0050456
Toluene	C0040383
Butylated Hydroxytoluene	C0006507
thymoquinone	C0076611
Lycopodium	C1653543
methylene chloride	C0025748
Cyclohexane	C0010566
Imides	C0020926
cangrelor	C1121991
ferric chloride	C0060229
Predator	C3528992
Allopurinol	C0002144
bromotyrosine	C1259731
11-epi-fistularin-3	C1619880
Sitosterols	C0037215
isorhamnetin 3-O-rutinoside	C1871132
krestin	C1962943
Lentinan	C0023324
polysaccharide peptide	C0296773
beta-Glucans	C1134651
N-methylacetamide-oxotremorine M	C0622215
acetamide	C0050423
Anti-Fungal	C0718566
Sumatriptan	C0075632
BW 723C86	C0295113
Serotonin 5-HT1D Receptor Antagonists	C2936519
palonosetron	C0220578
sarpogrelate	C0286592
Soman	C0037643
Timolol	C0040233
N,N'-dicyclopentyl-2-methylsulfanyl-5-nitro-pyrimidine-4,6-diamine	C1312379
CGP 7930	C3658176
Detomidine hydrochloride	C0113259
Romifidine Hydrochloride	C2827322
romifidine	C0171473
detomidine	C0057577
Harmine	C0018605
Beta-Carbolines	C0005197
HU 210	C0526470
SR 144528	C0671375
Nembutal	C0702208
Maprotiline	C0024778
bisphenol A	C0053800
Pregnanolone	C0033008
di-n-octyl phthalate	C0057660
diisononyl phthalate	C0163065
Serotonin 5-HT2A Receptor Antagonists	C2936524
Papain	C0030346
Antidepressive Agents, Second-Generation	C0242905
Multiple-day	C0721820
Granisetron	C0061863
Nausea Control	C0722001
7-azaindole	C1258982
N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-pentyl-1H-indazole-3-carboxamide	C3711314
methyl 3,4-methylenedioxy-5-methoxybenzoate	C1434595
SR 141716A	C0258459
Zinc Oxide	C0043491
Ergocalciferol	C0014695
Alert brand of caffeine	C0718338
alpha-Methyltyrosine	C0051427
Estradiol	C0014912
Murexide	C0026800
Simvastatin	C0074554
Hematoxylin	C0018964
Eosinum, eosin, Homeopathic preparation	C0885297
PSB 1115	C1869789
Propan	C0722856
Methylhistamines	C0025779
Opioid Antagonist [EPC]	C3536879
alloxazine	C0102253
GV1001	C1831943
Selective norepinephrine re-uptake inhibitor	C1319272
methylphosphonate	C0066424
Parathion	C0030514
Malathion	C0024547
Eserinum, eserine, Homeopathic preparation	C0885310
Digestive Enzymes	C0544420
Chinese herbs	C1134558
Transforming Growth Factor Beta 1	C1704256
Anti-Infective Agents	C0003204
Potassium Chloride	C0032825
recombinant human bone morphogenetic protein-2	C1445578
compound 20	C0056212
Amaryllidaceae Alkaloids	C1449675
2-Amino-5-phosphonovalerate	C0000254
Amprenavir	C0754188
Inotropic agent	C0304509
Milrinone	C0128513
methylisoamylnitrosamine	C0083433
Betamethasone	C0005308
oxatomide	C0134337
Mast cell stabilizer	C1268905
Membrane Lipids	C0025249
alkoxy	C1956166
peoniflorin	C0070320
Cardiac Glycosides	C0007158
glycol-chitosan	C0766265
Gallic acid	C0016979
catechin gallate	C0963074
Botanical	C1456557
Phenethylamines	C0031399
Ethylene	C0015075
Captopril	C0006938
Acetaldehyde	C0000966
oxidoreductase inhibitor	C0597153
GBR 12935	C0061150
ZD 7288	C0288271
Aversion	C2825146
Opiates	C0376196
Histamine H2 receptor antagonists for peptic ulcer and GORD	C3653430
oxaliplatin	C0069717
Diamines	C0011957
Clenbuterol	C0008932
Ramipril	C0072973
3-acetylcoumarin	C0300130
benzenesulfonamide	C0053169
Carrageenan	C0007289
Juniperus communis fruit extract	C3495122
Acetone	C0001002
labdane	C0968798
